vehicle_id,split,image_stem,obj_idx,class_name,L1,L2,L3,xmin,ymin,xmax,ymax,occluded,truncated
train_0_000,train,0,0,motorcycle_Honda_Shine,motorcycle,Honda,Shine,996,619,1086,752,0,0
train_0_001,train,0,1,car_MarutiSuzuki_Omni,car,MarutiSuzuki,Omni,855,565,958,688,0,0
train_1_000,train,1,0,autorickshaw_Piaggio,autorickshaw,Piaggio,Piaggio,961,393,1651,1079,0,0
train_1_001,train,1,1,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,931,457,970,490,0,0
train_1_002,train,1,2,scooter_TVS_Jupiter,scooter,TVS,Jupiter,1683,610,1920,876,0,0
train_1_003,train,1,3,truck_Others,truck,Others,Others,444,151,946,913,0,0
train_10_000,train,10,0,scooter_Honda_Aviator,scooter,Honda,Aviator,1215,553,1645,878,0,0
train_10_001,train,10,1,car_Toyota_Qualis,car,Toyota,Qualis,1302,421,1920,794,0,0
train_10_002,train,10,2,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,1053,521,1381,674,0,0
train_10_003,train,10,3,car_Honda_City,car,Honda,City,0,542,318,867,0,0
train_10_004,train,10,4,car_Hyundai_I10,car,Hyundai,I10,561,541,739,674,0,0
train_10_005,train,10,5,motorcycle_TVS_StarCityPlus,motorcycle,TVS,StarCityPlus,994,567,1180,694,0,0
train_10_006,train,10,6,motorcycle_Bajaj_Pulsar220F,motorcycle,Bajaj,Pulsar220F,1785,574,1920,838,0,0
train_10_007,train,10,7,scooter_Honda_Activa,scooter,Honda,Activa,635,627,1030,902,0,0
train_10_008,train,10,8,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,629,592,956,784,0,0
train_100_000,train,100,0,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,697,335,899,565,0,0
train_100_001,train,100,1,car_Hyundai_Santro,car,Hyundai,Santro,884,358,1252,639,0,0
train_100_002,train,100,2,scooter_Honda_Activa,scooter,Honda,Activa,5,501,284,720,0,0
train_100_003,train,100,3,scooter_Honda_Activa,scooter,Honda,Activa,601,396,695,590,0,0
train_100_004,train,100,4,motorcycle_Bajaj_Avenger,motorcycle,Bajaj,Avenger,1070,468,1280,718,0,0
train_100_005,train,100,5,car_TataMotors_Indica,car,TataMotors,Indica,242,366,569,620,0,0
train_1000_000,train,1000,0,scooter_Honda_Activa,scooter,Honda,Activa,5,661,370,975,0,0
train_1000_001,train,1000,1,autorickshaw_Others,autorickshaw,Others,Others,714,572,887,730,0,0
train_1000_002,train,1000,2,autorickshaw_Others,autorickshaw,Others,Others,439,565,664,769,0,0
train_1000_003,train,1000,3,motorcycle_Yamaha_FZS-FI,motorcycle,Yamaha,FZS-FI,2,808,267,1068,0,0
train_1001_000,train,1001,0,car_MarutiSuzuki_Baleno,car,MarutiSuzuki,Baleno,747,620,1221,1055,0,0
train_1001_001,train,1001,1,scooter_Honda_Activa,scooter,Honda,Activa,842,807,1172,1079,0,0
train_1001_002,train,1001,2,car_Hyundai_Creta,car,Hyundai,Creta,1299,601,1920,1080,0,0
train_1001_003,train,1001,3,car_Toyota_EtiosLiva,car,Toyota,EtiosLiva,1,676,672,1080,0,0
